tipo;sinal;limite;maximo;parcela_abater;var1;var2;adicional;var3
SOLCAS2;max;966;0,00%;0;0;0;0;0
SOLCAS2;max;1042;8,75%;8,75%;2,6;1337,54;21,43;0
SOLCAS2;max;1108;10,99%;10,99%;1,35;1652,49;21,43;0
SOLCAS2;max;1154;10,99%;80,79;0;0;21,43;0
SOLCAS2;max;1212;14,84%;125,22;0;0;21,43;0
SOLCAS2;max;1819;16,87%;149,83;0;0;21,43;0
SOLCAS2;max;2119;21,77%;238,97;0;0;21,43;0
SOLCAS2;max;2499;24,43%;295,34;0;0;21,43;0
SOLCAS2;max;3305;26,85%;355,82;0;0;21,43;0
SOLCAS2;max;5547;27,79%;386,89;0;0;21,43;0
SOLCAS2;max;20221;31,46%;590,47;0;0;21,43;0
SOLCAS2;min;20221;33,02%;905,92;0;0;21,43;0
SOLD;max;966;0,00%;0;0;0;0;0
SOLD;max;1042;8,75%;8,75%;2,6;1337,54;34,29;0
SOLD;max;1108;10,99%;10,99%;1,35;1652,49;34,29;0
SOLD;max;1154;10,99%;80,79;0;0;34,29;0
SOLD;max;1212;14,84%;125,22;0;0;34,29;0
SOLD;max;1819;16,87%;149,83;0;0;34,29;0
SOLD;max;2119;21,77%;238,97;0;0;34,29;0
SOLD;max;2499;24,43%;295,34;0;0;34,29;0
SOLD;max;3305;26,85%;355,82;0;0;34,29;0
SOLD;max;5547;27,79%;386,89;0;0;34,29;0
SOLD;max;20221;31,46%;590,47;0;0;34,29;0
SOLD;min;20221;33,02%;905,92;0;0;34,29;0
CAS1;max;1226;0,00%;0;0;0;0;0
CAS1;max;1267;7,28%;89,26;0;0;42,86;0
CAS1;max;1602;9,64%;119,17;0;0;42,86;0
CAS1;max;1962;10,99%;140,8;0;0;42,86;0
CAS1;max;2240;13,57%;191,42;0;0;42,86;0
CAS1;max;2900;15,94%;244,51;0;0;42,86;0
CAS1;max;3389;17,99%;303,96;0;0;42,86;0
CAS1;max;5965;20,17%;377,85;0;0;42,86;0
CAS1;max;20265;27,10%;791,23;0;0;42,86;0
CAS1;min;20265;33,02%;1990,92;0;0;42,86;0
SOLCAS2+DEF;max;2119;0,00%;0;0;0;0;0
SOLCAS2+DEF;max;2492;21,77%;464,51;0;0;0;0
SOLCAS2+DEF;max;2748;24,43%;530,8;0;0;0;0
SOLCAS2+DEF;max;3012;26,85%;597,31;0;0;0;0
SOLCAS2+DEF;max;4883;27,79%;625,63;0;0;0;0
SOLCAS2+DEF;max;20468;31,02%;783,36;0;0;0;0
SOLCAS2+DEF;min;20468;32,55%;1096,53;0;0;0;0
CAS2D+DEF;max;2339;0,00%;0;0;0;0;0
CAS2D+DEF;max;2488;21,77%;511,64;0;0;42,86;0
CAS2D+DEF;max;3479;24,43%;577,83;0;0;42,86;0
CAS2D+DEF;max;3728;26,85%;662,03;0;0;42,86;0
CAS2D+DEF;max;6687;27,79%;697,08;0;0;42,86;0
CAS2D+DEF;max;20468;31,02%;913,08;0;0;42,86;0
CAS2D+DEF;min;20468;32,55%;1226,25;0;0;42,86;0
SOLCAS2+DEF;max;2143;0,00%;0;0;0;0;0
SOLCAS2+DEF;max;2790;16,87%;363,67;0;0;21,43;0
SOLCAS2+DEF;max;3215;21,77%;500,38;0;0;21,43;0
SOLCAS2+DEF;max;3479;24,43%;585,9;0;0;21,43;0
SOLCAS2+DEF;max;5915;26,85%;670,1;0;0;21,43;0
SOLCAS2+DEF;max;6687;27,79%;725,71;0;0;21,43;0
SOLCAS2+DEF;max;20468;31,02%;941,71;0;0;21,43;0
SOLCAS2+DEF;min;20468;32,55%;1254,88;0;0;21,43;0
CAS1+DEF;max;2897;0,00%;0;0;0;0;0
CAS1+DEF;max;4503;15,94%;461,79;0;0;42,86;0
CAS1+DEF;max;6818;17,99%;554,11;0;0;42,86;0
CAS1+DEF;max;6916;20,17%;702,75;0;0;42,86;0
CAS1+DEF;max;20468;29,26%;1331,42;0;0;42,86;0
CAS1+DEF;min;20468;32,55%;2004,82;0;0;42,86;0
