tipo;sinal;limite;maximo;parcela_abater;var1;var2;adicional;var3
SOLD;max;966;0,00%;0;0;0;0;0
SOLD;max;1042;8,75%;8,75%;2,6;1438,38;0;0
SOLD;max;1100;10,99%;10,99%;1,35;1840,67;0;0
SOLD;max;1133;11,97%;120,67;0;0;0;0
SOLD;max;1239;14,84%;153,19;0;0;0;0
SOLD;max;1869;17,86%;190,61;0;0;0;0
SOLD;max;2114;22,27%;273,04;0;0;0;0
SOLD;max;2361;24,43%;318,71;0;0;0;0
SOLD;max;3462;28,28%;409,61;0;0;0;0
SOLD;max;5833;29,25%;443,2;0;0;0;0
SOLD;max;18332;32,83%;652,03;0;0;0;0
SOLD;min;18332;34,45%;949,01;0;0;0;0
CAS1;max;1055;0,00%;0;0;0;0;0
CAS1;max;1100;8,75%;8,75%;1,73;1703,51;0;0
CAS1;max;1159;8,75%;91,25;0;0;0;0
CAS1;max;1511;11,13%;118,84;0;0;0;0
CAS1;max;1866;13,49%;154,5;0;0;0;0
CAS1;max;2291;15,24%;187,16;0;0;0;0
CAS1;max;3212;19,54%;285,68;0;0;0;0
CAS1;max;3445;22,63%;384,94;0;0;0;0
CAS1;max;6025;22,66%;385,98;0;0;0;0
CAS1;max;18168;30,45%;855,33;0;0;0;0
CAS1;min;18168;34,45%;1582,05;0;0;0;0
SOLCAS2+DEF;max;2202;0,00%;0;0;0;0;0
SOLCAS2+DEF;max;2492;21,77%;481,51;0;0;18,19;0
SOLCAS2+DEF;max;3280;24,43%;547,8;0;0;18,19;0
SOLCAS2+DEF;max;4598;30,17%;736,08;0;0;18,19;0
SOLCAS2+DEF;max;6627;31,22%;784,36;0;0;18,19;0
SOLCAS2+DEF;max;18529;34,85%;1024,93;0;0;18,19;0
SOLCAS2+DEF;min;18529;36,57%;1343,63;0;0;18,19;0
CAS1+DEF;max;2821;0,00%;0;0;0;0;0
CAS1+DEF;max;3293;16,61%;478,97;0;0;36,38;0
CAS1+DEF;max;3994;21,12%;627,49;0;0;36,38;0
CAS1+DEF;max;6266;25,46%;800,83;0;0;36,38;0
CAS1+DEF;max;18169;32,88%;1265,77;0;0;36,38;0
CAS1+DEF;min;18169;37,10%;2032,51;0;0;36,38;0
