tipo;sinal;limite;maximo;parcela_abater;var1;var2;adicional;var3
SOLD;max;920;0,00%;0;0;0;0;0
SOLD;max;1042;12,50%;12,50%;2,6;1273,85;34,29;5,3
SOLD;max;1108;15,70%;15,70%;1,35;1554,83;34,29;7,2
SOLD;max;1154;15,70%;94,71;0;0;34,29;7,5
SOLD;max;1212;21,20%;158,18;0;0;34,29;8,1
SOLD;max;1819;24,10%;193,33;0;0;34,29;13,5
SOLD;max;2119;31,10%;320,66;0;0;34,29;16
SOLD;max;2499;34,90%;401,19;0;0;34,29;18,8
SOLD;max;3305;38,36%;487,66;0;0;34,29;23,6
SOLD;max;5547;39,69%;531,62;0;0;34,29;30,1
SOLD;max;20221;44,95%;823,4;0;0;34,29;40,9
SOLD;min;20221;47,17%;1272,31;0;0;34,29;-1
SOLCAS2;max;920;0,00%;0;0;0;0;0
SOLCAS2;max;1042;12,50%;12,50%;2,6;1273,85;21,43;5,3
SOLCAS2;max;1108;15,70%;15,70%;1,35;1554,83;21,43;7,2
SOLCAS2;max;1154;15,70%;94,71;0;0;21,43;7,5
SOLCAS2;max;1212;21,20%;158,18;0;0;21,43;8,1
SOLCAS2;max;1819;24,10%;193,33;0;0;21,43;13,5
SOLCAS2;max;2119;31,10%;320,66;0;0;21,43;16
SOLCAS2;max;2499;34,90%;401,19;0;0;21,43;18,8
SOLCAS2;max;3305;38,36%;487,66;0;0;21,43;23,6
SOLCAS2;max;5547;39,69%;531,62;0;0;21,43;30,1
SOLCAS2;max;20221;44,95%;823,4;0;0;21,43;40,9
SOLCAS2;min;20221;47,17%;1272,31;0;0;21,43;-1
CAS1;max;991;0,00%;0;0;0;0;0
CAS1;max;1042;12,50%;12,50%;2,6;1372,15;42,86;2,2
CAS1;max;1108;12,50%;12,50%;1,35;1677,85;42,86;3,8
CAS1;max;1119;12,50%;96,17;0;0;42,86;3,9
CAS1;max;1432;12,72%;98,64;0;0;42,86;5,8
CAS1;max;1962;15,70%;141,32;0;0;42,86;8,5
CAS1;max;2240;19,38%;213,53;0;0;42,86;9,8
CAS1;max;2773;22,77%;289,47;0;0;42,86;12,3
CAS1;max;3389;25,70%;370,72;0;0;42,86;14,8
CAS1;max;5965;28,81%;476,12;0;0;42,86;20,8
CAS1;max;20265;38,43%;1049,96;0;0;42,86;33,2
CAS1;min;20265;47,17%;2821,13;0;0;42,86;-1
SOLCAS2+DEF;max;1694;0,00%;0;0;0;0;0
SOLCAS2+DEF;max;2063;21,20%;359,13;0;0;0;3,8
SOLCAS2+DEF;max;2492;31,10%;563,37;0;0;0;8,5
SOLCAS2+DEF;max;4487;34,90%;658,07;0;0;0;20,2
SOLCAS2+DEF;max;4753;38,36%;813,33;0;0;0;21,2
SOLCAS2+DEF;max;6687;39,69%;876,55;0;0;0;26,6
SOLCAS2+DEF;max;20468;44,95%;1228,29;0;0;0;38,9
SOLCAS2+DEF;min;20468;47,17%;1682,68;0;0;0;-1
SOLD+DEF;max;1938;0,00%;0;0;0;0;0
SOLD+DEF;max;2063;21,32%;413,19;0;0;42,86;1,3
SOLD+DEF;max;2854;31,10%;614,96;0;0;42,86;9,6
SOLD+DEF;max;4504;34,90%;723,42;0;0;42,86;18,8
SOLD+DEF;max;6826;38,36%;879,26;0;0;42,86;25,5
SOLD+DEF;max;7048;39,69%;970,05;0;0;42,86;25,9
SOLD+DEF;max;20468;44,95%;1340,78;0;0;42,86;38,4
SOLD+DEF;min;20468;47,17%;1795,17;0;0;42,86;-1
CAS2D+DEF;max;1668;0,00%;0;0;0;0;0
CAS2D+DEF;max;2068;20,49%;341,78;0;0;21,43;4
CAS2D+DEF;max;2497;24,10%;416,44;0;0;21,43;7,4
CAS2D+DEF;max;3107;31,10%;591,23;0;0;21,43;12,1
CAS2D+DEF;max;4504;34,90%;709,3;0;0;21,43;19,2
CAS2D+DEF;max;6826;38,36%;865,14;0;0;21,43;25,7
CAS2D+DEF;max;7048;39,69%;955,93;0;0;21,43;26,1
CAS2D+DEF;max;20468;44,95%;1326,66;0;0;21,43;38,5
CAS2D+DEF;min;20468;47,17%;1781,05;0;0;21,43;-1
CAS1+DEF;max;2325;0,00%;0;0;0;0;0
CAS1+DEF;max;3494;22,77%;529,41;0;0;42,86;7,6
CAS1+DEF;max;3761;25,70%;631,79;0;0;42,86;8,9
CAS1+DEF;max;6687;28,81%;748,76;0;0;42,86;17,6
CAS1+DEF;max;20468;42,44%;1660,2;0;0;42,86;34,3
CAS1+DEF;min;20468;47,17%;2628,34;0;0;42,86;-1
