tipo;sinal;limite;maximo;parcela_abater;var1;var2;adicional;var3
SOLCAS2;max;980;0,00%;0;0;0;0;0
SOLCAS2;max;1028;8,72%;8,72%;2,6;1356,92;21,43;0
SOLCAS2;max;1099;12,04%;12,04%;1,35;1696,78;21,43;0
SOLCAS2;max;1201;12,04%;97,17;0;0;21,43;0
SOLCAS2;max;1623;17,63%;164,31;0;0;21,43;0
SOLCAS2;max;2332;22,30%;240,11;0;0;21,43;0
SOLCAS2;max;3203;22,42%;242,91;0;0;21,43;0
SOLCAS2;max;3614;27,27%;398,26;0;0;21,43;0
SOLCAS2;max;6585;27,78%;416,7;0;0;21,43;0
SOLCAS2;max;6954;28,02%;432,51;0;0;21,43;0
SOLCAS2;max;21411;29,24%;517,35;0;0;21,43;0
SOLCAS2;min;21411;32,78%;1275,3;0;0;21,43;0
SOLD;max;980;0,00%;0;0;0;0;0
SOLD;max;1028;8,72%;8,72%;2,6;1356,92;34,29;0
SOLD;max;1099;12,04%;12,04%;1,35;1696,78;34,29;0
SOLD;max;1201;12,04%;97,17;0;0;34,29;0
SOLD;max;1623;17,63%;164,31;0;0;34,29;0
SOLD;max;2332;22,30%;240,11;0;0;34,29;0
SOLD;max;3203;22,42%;242,91;0;0;34,29;0
SOLD;max;3614;27,27%;398,26;0;0;34,29;0
SOLD;max;6585;27,78%;416,7;0;0;34,29;0
SOLD;max;6954;28,02%;432,51;0;0;34,29;0
SOLD;max;21411;29,24%;517,35;0;0;34,29;0
SOLD;min;21411;32,78%;1275,3;0;0;34,29;0
CAS1;max;997;0,00%;0;0;0;0;0
CAS1;max;1099;8,72%;8,72%;1,35;1819,64;42,86;0
CAS1;max;1141;8,72%;84,84;0;0;42,86;0
CAS1;max;1857;10,33%;103,22;0;0;42,86;0
CAS1;max;2485;10,91%;114;0;0;42,86;0
CAS1;max;3331;12,36%;150,04;0;0;42,86;0
CAS1;max;3895;14,04%;206,01;0;0;42,86;0
CAS1;max;6673;15,95%;280,41;0;0;42,86;0
CAS1;max;6878;22,13%;692,81;0;0;42,86;0
CAS1;max;21411;24,93%;885,4;0;0;42,86;0
CAS1;min;21411;32,78%;2566,17;0;0;42,86;0
SOLCAS2+DEF;max;2053;0,00%;0;0;0;0;0
SOLCAS2+DEF;max;2591;14,90%;305,9;0;0;0;0
SOLCAS2+DEF;max;3622;18,63%;402,55;0;0;0;0
SOLCAS2+DEF;max;4668;22,89%;556,85;0;0;0;0
SOLCAS2+DEF;max;7066;26,16%;709,5;0;0;0;0
SOLCAS2+DEF;max;7168;27,52%;805,6;0;0;0;0
SOLCAS2+DEF;max;21625;30,58%;1024,95;0;0;0;0
SOLCAS2+DEF;min;21625;32,78%;1500,7;0;0;0;0
CAS2D+DEF;max;2345;0,00%;0;0;0;0;0
CAS2D+DEF;max;2591;13,82%;324,08;0;0;42,86;0
CAS2D+DEF;max;3622;18,63%;448,71;0;0;42,86;0
CAS2D+DEF;max;4668;22,89%;603,01;0;0;42,86;0
CAS2D+DEF;max;7066;26,16%;755,66;0;0;42,86;0
CAS2D+DEF;max;7168;27,52%;851,76;0;0;42,86;0
CAS2D+DEF;max;21625;30,58%;1071,11;0;0;42,86;0
CAS2D+DEF;min;21625;32,78%;1546,86;0;0;42,86;0
SOLCAS2+DEF;max;2019;0,00%;0;0;0;0;0
SOLCAS2+DEF;max;2528;15,66%;316,18;0;0;21,43;0
SOLCAS2+DEF;max;3049;17,68%;367,25;0;0;21,43;0
SOLCAS2+DEF;max;4272;17,81%;371,22;0;0;21,43;0
SOLCAS2+DEF;max;5734;22,80%;584,4;0;0;21,43;0
SOLCAS2+DEF;max;7066;25,95%;765,03;0;0;21,43;0
SOLCAS2+DEF;max;7550;27,52%;875,97;0;0;21,43;0
SOLCAS2+DEF;max;21625;30,58%;1107;0;0;21,43;0
SOLCAS2+DEF;min;21625;32,78%;1582,75;0;0;21,43;0
CAS1+DEF;max;3061;0,00%;0;0;0;0;0
CAS1+DEF;max;4668;8,83%;270,29;0;0;42,86;0
CAS1+DEF;max;7066;13,34%;480,82;0;0;42,86;0
CAS1+DEF;max;7168;25,03%;1306,84;0;0;42,86;0
CAS1+DEF;max;21625;28,10%;1526,9;0;0;42,86;0
CAS1+DEF;min;21625;32,78%;2538,95;0;0;42,86;0
