tipo;sinal;limite;maximo;parcela_abater;var1;var2;adicional;var3
SOLD;max;980;0,00%;0;0;0;0;0
SOLD;max;1028;8,72%;8,72%;2,6;1356,92;0;0
SOLD;max;1099;12,04%;12,04%;1,35;1696,78;0;0
SOLD;max;1218;13,04%;108,16;0;0;0;0
SOLD;max;1843;20,61%;200,37;0;0;0;0
SOLD;max;2248;23,30%;249,95;0;0;0;0
SOLD;max;2450;25,79%;305,93;0;0;0;0
SOLD;max;3362;31,72%;451,22;0;0;0;0
SOLD;max;4904;32,60%;480,81;0;0;0;0
SOLD;max;5758;34,13%;555,85;0;0;0;0
SOLD;max;19327;36,18%;673,89;0;0;0;0
SOLD;min;19327;38,55%;1131,94;0;0;0;0
CAS1;max;1028;0,00%;0;0;0;0;0
CAS1;max;1099;8,72%;8,72%;1,83;1635,71;0;0
CAS1;max;1218;8,72%;85,84;0;0;0;0
CAS1;max;1804;13,06%;138,71;0;0;0;0
CAS1;max;2172;17,71%;222,6;0;0;0;0
CAS1;max;2984;20,23%;277,34;0;0;0;0
CAS1;max;3914;22,78%;353,44;0;0;0;0
CAS1;max;4142;23,49%;381,23;0;0;0;0
CAS1;max;4616;28,08%;571,35;0;0;0;0
CAS1;max;19327;29,93%;656,75;0;0;0;0
CAS1;min;19327;38,55%;2322,74;0;0;0;0
SOLCAS2+DEF;max;2197;0,00%;0;0;0;0;0
SOLCAS2+DEF;max;2362;22,30%;489,94;0;0;18,19;0
SOLCAS2+DEF;max;3173;25,46%;564,58;0;0;18,19;0
SOLCAS2+DEF;max;4104;29,77%;701,34;0;0;18,19;0
SOLCAS2+DEF;max;5476;31,22%;760,85;0;0;18,19;0
SOLCAS2+DEF;max;5950;34,13%;920,21;0;0;18,19;0
SOLCAS2+DEF;max;19517;36,16%;1041;0;0;18,19;0
SOLCAS2+DEF;min;19517;38,55%;1507,46;0;0;18,19;0
CAS1+DEF;max;2918;0,00%;0;0;0;0;0
CAS1+DEF;max;3844;10,04%;292,97;0;0;36,38;0
CAS1+DEF;max;4409;14,49%;464,03;0;0;36,38;0
CAS1+DEF;max;5858;18,13%;624,52;0;0;36,38;0
CAS1+DEF;max;5950;25,54%;1058,6;0;0;36,38;0
CAS1+DEF;max;19196;32,65%;1481,65;0;0;36,38;0
CAS1+DEF;min;19196;38,55%;2614,22;0;0;36,38;0
